 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 18.6/(FRExt)| 09/26 | 09:50 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.449| 41.282| 42.818| 37.045| 41.029| 42.594| 219360| 120080|      0|   341120|         108013   |          14175   |
| 18.6/(FRExt)| 09/26 | 09:58 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 439040| 240160|      0|   680880|          97849   |          14105   |
| 18.6/(FRExt)| 09/26 | 10:08 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|          85893   |          14148   |
| 18.6/(FRExt)| 09/26 | 10:52 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.449| 41.282| 42.818| 37.041| 41.033| 42.571| 219360| 119840|      0|   340880|          99342   |          14365   |
| 18.6/(FRExt)| 09/26 | 11:57 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.449| 41.282| 42.818| 37.045| 41.029| 42.594| 219120| 120080|      0|   340160|          98851   |          13876   |
| 18.6/(FRExt)| 09/26 | 12:36 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.449| 41.282| 42.818| 37.041| 41.033| 42.571| 219360| 119840|      0|   340880|         103161   |          14721   |
| 18.6/(FRExt)| 09/26 | 15:31 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|          87100   |          14369   |
| 18.6/(FRExt)| 09/27 | 16:43 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|         567722   |          14828   |
| 18.6/(FRExt)| 09/27 | 16:49 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120960|      0|   342480|         155754   |          15249   |
| 18.6/(FRExt)| 09/27 | 17:17 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|          79731   |          14834   |
| 18.6/(FRExt)| 09/27 | 18:46 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120800|      0|   342320|         125239   |          15222   |
| 18.6/(FRExt)| 09/27 | 18:51 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120960|      0|   342480|         101621   |          14881   |
| 18.6/(FRExt)| 09/27 | 19:38 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675|    720|   1440|      0|     3840|         110373   |          14950   |
| 18.6/(FRExt)| 09/27 | 19:48 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675|    720|   1440|      0|     3840|         391415   |          14838   |
| 18.6/(FRExt)| 09/27 | 21:32 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 219840| 120960|      0|   342480|          58039   |          14408   |
| 18.6/(FRExt)| 09/27 | 22:04 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 221680| 120800|      0|   344160|          66782   |          14247   |
| 18.6/(FRExt)| 09/28 | 08:56 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 221680| 120800|      0|   344160|         192934   |          14138   |
| 18.6/(FRExt)| 09/28 | 11:18 |                   foreman_part_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.427| 41.282| 42.818| 37.009| 41.016| 42.675| 200400| 120800|      0|   322880|         188111   |          14284   |
| 18.6/(FRExt)| 10/08 | 16:52 |                           news_qcif.yuv|    3 |  0/0  | 28 | 28 | 24 | 176x144 |    0  |  0 |  FFS |  022 |  32 |  5  | 30.00| CAVLC|   1  |   OFF   |  0  | 37.838| 40.147| 40.725| 37.467| 40.003| 40.511| 244640|  38880|      0|   285200|          79434   |           1641   |
